2024-11-16 13:10:05.609 +00:00 [INF] Patient 200001000001 profile was edited on 11/16/2024 1:10:05 PM
2024-11-16 13:30:54.700 +00:00 [INF] Staff D200044442 was deactivated by Admin (diogoandre.8269@gmail.com) on 16/11/2024 13:30:54
2024-11-16 19:11:15.780 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:11:15. Changes: Phone Number changed to: +351934675554, Specialization changed to: TESTE
2024-11-16 19:13:22.207 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:13:22. Changes: Phone Number changed to: +351934675533, Specialization changed to: TESTE
2024-11-16 19:19:08.352 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:19:08. Changes: Phone Number changed to: +351934675534, Specialization changed to: TESTE
2024-11-16 19:20:50.755 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:20:50. Changes: Phone Number changed to: +3519346755366, Specialization changed to: TESTE
2024-11-16 19:21:41.264 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:21:41. Changes: Phone Number changed to: +351934675577, Specialization changed to: TESTE
2024-11-16 19:23:38.148 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:23:38. Changes: Phone Number changed to: +35193467553689, Specialization changed to: TESTE
2024-11-16 19:26:28.035 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:26:28. Changes: Phone Number changed to: +3519346755779, Specialization changed to: TESTE
2024-11-16 19:29:48.108 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:29:48. Changes: Phone Number changed to: +35193467553600, Specialization changed to: TESTE
2024-11-16 19:32:45.673 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:32:45. Changes: Phone Number changed to: +351934675570, Specialization changed to: TESTE
2024-11-16 19:35:15.055 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:35:15. Changes: Phone Number changed to: +35193467553600, Specialization changed to: TESTE
2024-11-16 19:40:12.926 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:40:12. Changes: Phone Number changed to: +351934675500, Specialization changed to: TESTE
2024-11-16 19:42:38.659 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:42:38. Changes: Phone Number changed to: +35193467553604, Specialization changed to: TESTE
2024-11-16 19:44:23.512 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:44:23. Changes: Phone Number changed to: +351934675504, Specialization changed to: TESTE
2024-11-16 19:45:01.149 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:45:01. Changes: Phone Number changed to: +35193467553608, Specialization changed to: TESTE
2024-11-16 19:45:42.320 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:45:42. Changes: Phone Number changed to: +351934675504, Specialization changed to: TESTE
2024-11-16 19:46:28.730 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:46:28. Changes: Phone Number changed to: +35193467553606, Specialization changed to: TESTE
2024-11-16 19:47:11.497 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:47:11. Changes: Phone Number changed to: +351934675508, Specialization changed to: TESTE
2024-11-16 19:48:00.319 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:48:00. Changes: Phone Number changed to: +35193467553608, Specialization changed to: TESTE
2024-11-16 19:48:01.946 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:48:01. Changes: Phone Number changed to: +35193467553608, Specialization changed to: TESTE
2024-11-16 19:49:16.825 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:49:16. Changes: Phone Number changed to: +351934675510, Specialization changed to: TESTE
2024-11-16 19:50:08.784 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:50:08. Changes: Phone Number changed to: +35193467556666, Specialization changed to: TESTE
2024-11-16 19:50:54.645 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:50:54. Changes: Phone Number changed to: +351934675599, Specialization changed to: TESTE
2024-11-16 19:51:38.624 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:51:38. Changes: Phone Number changed to: +35193467556668, Specialization changed to: TESTE
2024-11-16 19:53:53.969 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:53:53. Changes: Phone Number changed to: +351934675799, Specialization changed to: TESTE
2024-11-16 19:56:05.867 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 19:56:05. Changes: Phone Number changed to: +35193467556669, Specialization changed to: TESTE
2024-11-16 20:00:54.341 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 20:00:54. Changes: Email changed to: d10g0r0dr1gu3s123@gmail.com, Phone Number changed to: +35193467556669, Specialization changed to: 3cacfe31-3cb9-4ced-be94-0b26ea3eed64
2024-11-16 20:00:56.257 +00:00 [INF] Staff D200012349's profile updated was confirmed by d10g0r0dr1gu3s123@gmail.com on 16/11/2024 20:00:56. Changes: Email changed to: d10g0r0dr1gu3s123@gmail.com, Phone Number changed to: +351934670000, Specialization changed to: 3cacfe31-3cb9-4ced-be94-0b26ea3eed64
